Site,Type,Industry,Skill,Designation,Cost
HYD,Growth,BPO,Reference Data,Management Trainee,246711.8621
NCR,Growth,Banking,Regulatory Reporting,Management Trainee,58213.36653
JPR,Backfill,CA Firm,Regulatory Reporting,Management Trainee,313700.8252
NCR,Growth,Finance,Regulatory Reporting,Management Trainee,417995.2889
NCR,Growth,Fresher,Regulatory Reporting,Management Trainee,25424.94637
NCR,Growth,KPO,Regulatory Reporting,Management Trainee,286001.425
NCR,Growth,BPO,Re-Insurance Accounting,Management Trainee,152279.4571
BPM,Growth,Finance,Reporting,Management Trainee,127548.0216
HYD,Growth,BPO,REQ TO PO,Management Trainee,21465.4142
ITO,Back Fill,IT,RMG,Management Trainee,231705.7813
BPM,Backfill,BPO,RMS Insurance,Management Trainee,55779.42213
BPM,Growth,CA Firm,RTR,Management Trainee,92078.42573
NCR,Growth,BPO,SAP FICO,Management Trainee,295124.5053
NCR,Backfill,BPO/ITES,SCM,Management Trainee,162706.46
BLR,Growth,BPO,SEC reporting ,Management Trainee,154673.0783
NCR,Growth,BPO,SEC reporting ,Management Trainee,147090.2819
BPM,Growth,BPO,SEC reporting ,Management Trainee,343073.0964
NCR,Backfill,BPO/ITES,SEC reporting ,Management Trainee,188993.9487
NCR,Backfill,ITES,Securitization,Management Trainee,253110.9697
BLR,Growth,IT,Service Desk Mgt - Cisco,Management Trainee,337547.6928
BPM,Backfill,KPO,Sourcing Buyer,Management Trainee,357133.971
NCR,Growth,BPO,Spend Analytics,Management Trainee,162827.1112
BPM,Backfill,BPO ITES,Statutory Reporting,Management Trainee,151075.9171
NCR,Backfill,KPO,Statutory Reporting,Management Trainee,3105.940169
HYD,Growth,BPO,Stock Accounting,Management Trainee,70304.99358
KOL,Backfill,BPO/ITES,T&E,Management Trainee,254543.9911
KOL,Growth,Logistics,T&E,Management Trainee,212738.5576
BPM,Backfill,Finance,Tax & Accounting,Management Trainee,181464.8679
BPM,Growth,Finance,Tax & Accounting,Management Trainee,204469.966
BPM,Growth,BPO,Taxation,Management Trainee,282020.487
BPM,Growth,BPO,Taxation,Management Trainee,412830.8576
NCR,Growth,BPO,Technical Support,Management Trainee,134145.4817
NCR,Growth,BPO,Technical Support,Management Trainee,428508.0888
NCR,Growth,Heathcare,Technical Support,Management Trainee,169554.0694
NCR,Growth,BPO/ITES,Trade Reconciliation,Management Trainee,203049.3028
JPR,Growth,Educational Institute,Training,Management Trainee,207437.1096
BPM,Backfill,Fresher,Treasury Accounting,Management Trainee,311455.8139
NCR,Growth,BPO,US GAAP & STAT Reporting,Management Trainee,136332.642
BLR,Growth,BPO,US GAAP & STAT Reporting,Management Trainee,483580.6282
NCR,Growth,BPO,US GAAP & STAT Reporting,Management Trainee,570556.6506
BLR,Growth,BPO,US GAAP & STAT Reporting,Management Trainee,4661.486002
NCR,Growth,BPO,US GAAP & STAT Reporting,Management Trainee,51173.66126
BPM,Growth,BPO,US GAAP & STAT Reporting,Management Trainee,212843.5368
BPM,Growth,BPO,US GAAP & STAT Reporting,Management Trainee,210799.0283
BPM,Growth,BPO,US GAAP & STAT Reporting,Management Trainee,463445.3633
BPM,Growth,BPO,US GAAP & STAT Reporting,Management Trainee,453797.8983
BLR,Growth,CA Fresher,US GAAP & STAT Reporting,Management Trainee,440490.0395
NCR,Backfill,BPO,US Payroll,Management Trainee,112648.5541
HYD,Growth,BPO,US Taxation,Management Trainee,251535.5697
BPM,Growth,BPO,Variable Product (L&R),Management Trainee,432382.932
NCR,Growth,KPO,VBA,Management Trainee,313360.2485
BPM,Growth,NIL,GA,Managemnet Trainee,85863.03398
BPM,Backfill,NIL,GA,Managemnet Trainee,26374.75996
BPM,Backfill,Banking Orgaingation,R2R,Managemnet Trainee,175191.8097
BPM,Backfill,Healthcare,R2R,Managemnet Trainee,116382.0597
SDS,Growth,Banglore,.net,Manager,428405.2152
SDS,Backfill,Symphony Services Corp (India) Pvt. Ltd.-IT,"Accounting,FP&A",Manager,864825.0035
NCR,Growth,Analytics,Actuarial ,Manager,388227.4396
BLR,Growth,BPO,Actuarial Modelling,Manager,1351785.435
BLR,Growth,Others-IT,Analytical/BI Tools,Manager,861185.9155
HYD,Backfill,BPO,Analytics,Manager,186164.5984
KOL,Growth,BPO,AP,Manager,21514.28761
HYD,Growth,BPO,AP,Manager,766136.8276
KOL,Backfill,BPO,AP,Manager,606668.3276
HYD,Backfill,Consulting,AP,Manager,899745.2299
NCR,Backfill,Finance,AP,Manager,837048.0375
NCR,Growth,Finance,AP,Manager,681604.6857
NCR,Backfill,ITES,AP,Manager,181719.2594
NCR,Growth,ITES,AP,Manager,645105.0599
NCR,Backfill,ITES,AP,Manager,181007.6438
NCR,Backfill,KPO,AP,Manager,629446.1849
NCR,Growth,Real Estate,AR,Manager,476834.4545
BPM,Backfill,BPO,Black Belt,Manager,554287.9159
BPM,Backfill,BPO,Black Belt,Manager,148775.5587
BLR,Backfill,Finance,Black Belt,Manager,358490.0075
BPM,Backfill,Others,Black Belt,Manager,87522.95918
NCR,Growth,Quality,Black Belt,Manager,542292.4998
BPM,Backfill,Telecom,Black Belt,Manager,613328.4645
SDS,Backfill,gurgaon,"Black Belt,Quality Lead",Manager,278795.0267
HYD,Growth,Banking,Business Analyst,Manager,603031.7784
NCR,Growth,Finance,C&R/FR,Manager,540195.9919
NCR,Growth,Finance,Capital Market,Manager,524985.5207
NCR,Growth,BPO,Cards Dispute / Chargebacks,Manager,570738.295
NCR,Backfill,ITES,CAT Modeling,Manager,1057705.552
BLR,Growth,IT,CoE IT Mgr,Manager,317867.5198
NCR,Backfill,IT,CoE It Role,Manager,326534.6555
HYD,Backfill,BPO,Collections,Manager,202071.0142
BPM,Growth,BPO,Commerce Risk,Manager,667271.0691
NCR,Backfill,Banking,Compliance,Manager,84718.48697
NCR,Backfill,BPO,Compliance,Manager,90204.7387
BPM,Backfill,ITES/ BPO/ KPO,Compliance and Audit,Manager,189468.3236
BPM,Backfill,ITES/BPO,Content Editing,Manager,587299.2179
BPM,Growth,BFSI,Credit Risk,Manager,554995.8085
SDS,Growth,Others-,Credit Risk,Manager,1074799.305
HYD,Growth,BPO,Customer Care,Manager,357271.8195
HYD,Growth,Banking,Customer Service,Manager,673287.4881
HYD,Growth,BPO,Customer Service,Manager,468779.4595
SDS,Growth,Infosys Ltd-,Data Integration,Manager,814556.4624
SDS,Growth,Others-,Data Management,Manager,254422.1616
HYD,Growth,BPO,E Sourcing,Manager,908667.7852
NCR,Growth,BPO/ITES,External Financial Reporting,Manager,60964.61124
NCR,Backfill,ITES,External Financial Reporting,Manager,1284265.789
BPM,Growth,ITES/ BPO/ KPO,F&A Trainer,Manager,895683.4206
SDS,Growth,IBM India Private LTD-,Financial Analysis,Manager,613122.8041
HYD,Backfill,ICICI Bank Ltd.-,Financial Analysis,Manager,1023773.199
BPM,Growth,Consulting,Financial Reporting,Manager,528198.2666
HYD,Growth,Finance,Financial Reporting,Manager,348002.6511
BPM,Backfill,IT,Financial Reporting,Manager,143432.2171
BPM,Growth,IT,Financial Reporting,Manager,491864.105
HYD,Backfill,Others,Financial Reporting,Manager,512640.2281
NCR,Growth,Banking,FP&A,Manager,143091.0893
BLR,Growth,BPO,FP&A,Manager,168515.9402
BLR,Growth,BPO,FP&A,Manager,224758.224
BLR,Growth,BPO,FP&A,Manager,610084.3072
BLR,Growth,BPO,FP&A,Manager,134906.7983
NCR,Backfill,BPO,FP&A,Manager,96876.93811
NCR,Growth,BPO/ITES,FP&A,Manager,6587.311056
NCR,Backfill,BPO/ITES,FP&A,Manager,258958.4898
BLR,Growth,Engineering,FP&A,Manager,232671.9385
BLR,Growth,Finance,FP&A,Manager,239721.1708
BLR,Growth,Finance,FP&A,Manager,36200.25447
BLR,Growth,Finance,FP&A,Manager,386348.1787
NCR,Growth,ITES,FP&A,Manager,220709.3632
NCR,Backfill,KPO,FP&A,Manager,151157.8711
BPM,Backfill,Manufacturing,FP&A,Manager,1147905.326
NCR,Growth,Others,FP&A,Manager,1053382.801
NCR,Growth,Telecom,FP&A,Manager,749198.5078
BPM,Backfill,Banking,GA,Manager,852093.7677
BLR,Growth,BPO,GA,Manager,501854.7105
BLR,Growth,BPO,GA,Manager,937563.7714
BPM,Growth,BPO,General Accounting - L&R,Manager,1021423.706
KOL,Growth,BPO,GL,Manager,637376.115
NCR,Backfill,BPO,GL,Manager,245912.0576
KOL,Growth,BPO,GL,Manager,135466.9986
NCR,Backfill,BPO,GL,Manager,380417.2463
BPM,Growth,BPO,GL,Manager,411844.0345
BPM,Growth,BPO,GL,Manager,181339.3042
KOL,Growth,Manufacturing,GL,Manager,178910.2619
NCR,Growth,BPO,Government Reporting,Manager,730334.8128
BPM,Backfill,KPO,Healthcare Claims,Manager,523555.7216
HYD,Backfill,IT,HR,Manager,267686.9681
BLR,Growth,BPO,HR Benefit ,Manager,96537.81529
BLR,Backfill,Finance,HR/Hiring/Support,Manager,169848.5613
NCR,Growth,ITES,HRO,Manager,259881.9716
SDS,Growth,Gurgaon,Instrutional Designer,Manager,192556.9166
SDS,Growth,Others-,Instrutional Designer,Manager,797021.4328
NCR,Growth,BFSI,Insurance,Manager,1903723.88
BPM,Growth,BPO,Intercompany,Manager,1317772.251
BPM,Growth,BPO,Intercompany,Manager,146097.5502
NCR,Growth,BPO/ITES,Intercompany,Manager,1163328.386
MUM,Growth,Big 4,Internal Audit,Manager,993616.9892
NCR,Growth,Big 4,Internal Audit,Manager,739632.3497
HYD,Backfill,BPO,Internal Audit,Manager,326013.5613
SDS,Growth,Gurgaon,Investment Research,Manager,1045592.259
SDS,Growth,Others-,Investment Research,Manager,682347.6885
NCR,Growth,IT,IT Compliance and Audit,Manager,548870.8445
NCR,Backfill,ITES,IT/Telecom Sourcing,Manager,1149690.74
BLR,Growth,Finance,KYC,Manager,841896.826
NCR,Growth,Real Estate Services,Lease Accounting,Manager,313944.8361
NCR,Growth,BPO,Legal,Manager,544945.5542
NCR,Growth,Legal,Legal/Compliance,Manager,672862.5772
HYD,Growth,Sourcing,Marketing Category,Manager,956984.0206
HYD,Growth,Pune,MDM,Manager,956061.1302
NCR,Growth,ITES,Medical Summarization,Manager,101347.3601
NCR,Growth,BPO,MIS Reporting,Manager,243505.5006
BPM,Growth,BPO,Model Validation,Manager,990259.2185
KOL,Growth,-BFS (Banking & Financial Services),Modeling & Mining,Manager,1619517.469
SDS,Backfill,Others-,Modeling & Mining,Manager,340968.932
NCR,Backfill,BPO,Mortgage Validation,Manager,363639.7612
ITO,Backfill,IT,Network Voice,Manager,711740.9865
JPR,Growth,Finance,New Product Development,Manager,131760.8186
NCR,Growth,Finance,Operations,Manager,72745.40974
NCR,Backfill,ITES,Operations,Manager,437153.0336
SDS,Backfill,Others-,Operations,Manager,650935.7899
NCR,Growth,BPO,Organization Design,Manager,87248.7081
NCR,Growth,BFSI,ORM,Manager,237558.2265
NCR,Growth,BFSI,ORM,Manager,1567569.822
BPM,Growth,BFSI,ORM,Manager,613347.4874
HYD,Growth,Finance,OTC,Manager,489198.0558
HYD,Growth,Finance,OTC,Manager,486387.4476
HYD,Growth,Finance,OTC Collections,Manager,683670.4512
HYD,Growth,Finance,OTC Collections,Manager,144773.8294
BLR,Growth,BPO,OTC Reconciliations,Manager,97375.90493
HYD,Backfill,BPO/ITES,OTC Trainer,Manager,34614.58894
BLR,Growth,American Express India Pvt Ltd-,Other,Manager,816309.7237
BLR,Backfill,IBM India Private LTD-,Other,Manager,490381.0609
NCR,Growth,Others-,Other,Manager,338041.8974
BLR,Backfill,TATA CONSULTANCY-,Other,Manager,45724.70859
SDS,Growth,WNS Global Service Pvt Ltd-,Other,Manager,918718.2689
BPM,Backfill,BPO,P2P,Manager,929089.2858
KOL,Backfill,BPO,P2P BUYER ,Manager,56424.32629
HYD,Growth,Finance,P2P BUYER ,Manager,49476.49197
BLR,Growth,Others,Parent Company Accounting,Manager,1348909.8
BLR,Growth,BPO,Parent Company Accounting ,Manager,1150788.15
BLR,Growth,BPO,PC FP&A,Manager,453004.9916
BLR,Growth,BPO,PC FP&A,Manager,837341.8192
BLR,Growth,BPO,PC FP&A,Manager,82001.16622
ITO,Backfill,IT,PMO Manager,Manager,1092577.308
NCR,Growth,ITES,Policy Processing,Manager,223524.1549
NCR,Backfill,BPO,Pricing,Manager,801815.9112
NCR,Growth,BPO/ITES,Project Management,Manager,539134.0188
SDS,Growth,GURGAON,Project management,Manager,469256.4278
HYD,Growth,Bangalore,Project Managemet,Manager,688612.8742
HYD,Growth,BPO,Quality,Manager,508283.8013
JPR,Backfill,BPO/ITES,Quality,Manager,373726.7371
BPM,Backfill,IT/Software Services,Quality,Manager,220592.6011
BPM,Backfill,Telecom,Quality,Manager,297415.1037
NCR,Growth,BPO,R2R,Manager,839594.4721
NCR,Growth,BPO,R2R,Manager,943915.0794
HYD,Growth,BPO,R2R,Manager,104190.1276
HYD,Growth,BPO,R2R,Manager,306402.9758
JPR,Growth,BPO,R2R,Manager,489809.2758
NCR,Growth,BPO,R2R,Manager,321167.879
HYD,Growth,BPO/ITES,R2R,Manager,201333.3765
NCR,Growth,CA firm,R2R,Manager,425581.9678
HYD,Backfill,Finance,R2R,Manager,478986.1674
JPR,Growth,ITES,R2R,Manager,956660.3996
BPM,Bench,ITES/ BPO/ KPO,R2R,Manager,167126.442
BPM,Growth,ITES/BPO,R2R,Manager,613810.1979
BPM,Growth,Oil & Gas,R2R,Manager,855845.3295
BLR,Growth,BPO,R2R Training Manager,Manager,35983.46933
NCR,Growth,BPO,Re Insurance/ Re Ins Acc,Manager,654635.6947
BPM,Growth,BPO,Reconciliation Management,Manager,749071.0958
BPM,Growth,BPO,Reconciliation Management,Manager,955566.8527
NCR,Growth,BPO,Reconciliations,Manager,666109.6978
HYD,Backfill,Business,Recruitment,Manager,218287.7961
HYD,Backfill,IT,Recruitment,Manager,511607.5439
HYD,Backfill,IT,Recruitment,Manager,740287.3924
NCR,Growth,KPO,Reengineering,Manager,216573.4157
NCR,Growth,Banking,Regulatory Reporting,Manager,283499.2093
NCR,Growth,Banking,Regulatory Reporting,Manager,477144.538
BLR,Growth,BFSI,Regulatory Reporting,Manager,929577.4307
BLR,Growth,BPO,Regulatory Reporting,Manager,501121.9067
NCR,Growth,ITES,Regulatory Reporting,Manager,583612.1099
BPM,Growth,BPO,Regulatory Reporting ,Manager,692547.302
BPM,Backfill,BPO,Reinsurance,Manager,694739.6857
BPM,Growth,BPO,Reinsurance,Manager,470770.7826
NCR,Growth,BPO,Reinsurance Accounting,Manager,960109.5435
NCR,Growth,BPO,Reinsurance Accounting,Manager,771511.3607
NCR,Growth,Insurance,Reinsurance Accounting,Manager,467314.6238
SDS,Backfill,Denuosource Knowledge Center-Other Industries,Reporting,Manager,620445.9529
ITO,Backfill,IT,Resourcing,Manager,572465.7728
SDS,Backfill,Noida Sector 135,Risk Data Analysis,Manager,348297.6622
BPM,Growth,Banking,Risk Management,Manager,349986.9031
BPM,Growth,Financial Services,Risk Management,Manager,804153.2935
HYD,Backfill,IT,RMG,Manager,842316.603
NCR,Growth,BPO,RTR,Manager,304994.7953
NCR,Growth,IT,Sales force,Manager,977379.0895
NCR,Growth,Consulting,Sales Support,Manager,382085.9441
NCR,Backfill,Security Services,Sales Support,Manager,72566.18655
SDS,Backfill,Kolkata,SAS Reporting,Manager,140108.3345
BLR,Growth,BPO,SEC reporting ,Manager,346692.2324
NCR,Growth,Finance,SEC reporting ,Manager,822129.9485
HYD,Growth,IT,Security Firewall,Manager,689567.6791
ITO,Growth,IT,Service Now,Manager,1832652.058
HYD,Growth,Gurgaon,Solution Architect,Manager,48055.81755
ITO,Backfill,IT,Solution Architect,Manager,1335283.702
NCR,Growth,BPO,Sourcing,Manager,163433.6864
SDS,Growth,Others-,Statistical Modeling,Manager,1635867.55
SDS,Growth,Pune,Statistical Modeling,Manager,2871.443859
SDS,Growth,"Quatrro Processing & Analytics Services, GGN",Statistical Modeling,Manager,300968.7582
SDS,Growth,FICO (Fair Isaac India)-,"Statistical Modeling,Consumer Risk Modeling,Modelling",Manager,271439.8069
NCR,Growth,BFSI,Statutory Reporting,Manager,733974.0999
HYD,Growth,Others,Tactical Buyer,Manager,441085.0871
SDS,Growth,Bangalore,Text Mining,Manager,438255.7275
NCR,Growth,BPO,Training,Manager,526459.2557
NCR,Growth,BPO,Training,Manager,811186.3336
BPM,Growth,BPO,Training,Manager,532125.2976
BPM,Backfill,BPO,Training,Manager,561161.6547
NCR,Growth,ITES,Training,Manager,154520.2842
NCR,Growth,Self-Employed,Training,Manager,766358.4182
NCR,Backfill,Financial Services,Transport Manager,Manager,725063.4829
NCR,Growth,Finance,Under Writing,Manager,110129.83
NCR,Growth,Banking,US GAAP & STAT Reporting,Manager,374226.8901
NCR,Growth,BPO,US GAAP & STAT Reporting,Manager,648656.3351
BLR,Growth,BPO,US GAAP & STAT Reporting,Manager,738040.4144
NCR,Growth,BPO,US GAAP & STAT Reporting,Manager,868601.4526
BLR,Growth,BPO,US GAAP & STAT Reporting,Manager,345828.9499
BLR,Growth,BPO,US GAAP & STAT Reporting,Manager,300953.5504
NCR,Growth,BPO,US GAAP & STAT Reporting,Manager,585460.1732
BPM,Growth,BPO,US GAAP & STAT Reporting,Manager,76973.51529
NCR,Growth,Finance,US GAAP & STAT Reporting,Manager,122261.8864
NCR,Growth,Finance,US GAAP & STAT Reporting,Manager,848486.6169
NCR,Growth,Non BPO,US GAAP & STAT Reporting,Manager,668936.2672
BPM,Growth,BPO,US GAAP and STAT Reporting,Manager,817452.3548
BPM,Growth,BPO,US GAAP and STAT Reporting,Manager,204659.3308
BPM,Growth,BPO,US GAAP and STAT Reporting,Manager,733478.512
NCR,Growth,BPO,US GAAP Reporting,Manager,785715.2339
NCR,Growth,Consulting firm,US GAAP Reporting,Manager,586083.048
NCR,Growth,ITES,US GAAP Reporting,Manager,91030.18149
NCR,Growth,ITES,US GAAP Reporting,Manager,176842.7133
JPR,Growth,Collections,WCS Collections,Manager,693070.4964
HYD,Growth,Noida,Webhosting Mgr,Manager,621910.0112
NCR,Growth,IT,Apps & Dot Net,Principal Consultant,74826.47859
HYD,Growth,IT,Apps DBA,Principal Consultant,1006095.483
HYD,Backfill,IT,Asp .Net,Principal Consultant,257732.9358
HYD,Growth,IT,Citrix,Principal Consultant,1305499.528
HYD,Growth,IT,Citrix,Principal Consultant,399479.4973
NCR,Growth,IT,Data Network,Principal Consultant,1131675.809
HYD,Backfill,IT,DB2/DBA,Principal Consultant,1039213.55
BLR,Growth,Engineering,Electomagnetic 2D/3D,Principal Consultant,653232.5421
BLR,Growth,Magnet,Electomagnetic 2D/3D,Principal Consultant,1015960.266
HYD,Growth,IT,ETL,Principal Consultant,423911.8906
HYD,Backfill,IT,Financials,Principal Consultant,1245138.733
HYD,Growth,IT,Financials,Principal Consultant,785198.9061
ITO,Growth,IT,Financials,Principal Consultant,1424173.531
HYD,Growth,IT,Informatica,Principal Consultant,1295291.727
HYD,Growth,Noida,IT Assest Mgt,Principal Consultant,1224670.147
NCR,Growth,IT,J2ee,Principal Consultant,155473.885
NCR,Growth,IT,Java,Principal Consultant,306119.2601
NCR,Growth,IT,Java / J2ee,Principal Consultant,443716.9128
ITO,Backfill,IT,Java Web (Spring/Struts/Ajax/html/Jquery),Principal Consultant,104931.4655
HYD,Growth,IT,Juniper Firewalls,Principal Consultant,24616.43648
HYD,Growth,IT,Juniper Firewalls,Principal Consultant,465431.0583
NCR,Growth,New Delhi,Operation Manager,Principal Consultant,190730.9932
HYD,Growth,IT,Oracle Apps DBA,Principal Consultant,1185693.931
ITO,Growth,IT,Oracle Apps DBA,Principal Consultant,579518.6507
HYD,Growth,IT,Oracle DBA,Principal Consultant,406449.9415
ITO,Growth,IT,Oracle DBA + PT,Principal Consultant,541460.2978
ITO,Backfill,IT,Oracle DBA + PT,Principal Consultant,416923.3452
ITO,Growth,IT,Rapid Automation,Principal Consultant,450744.5163
HYD,Backfill,IT,SAP FICO,Principal Consultant,924943.9663
KOL,Growth,IT,SAP FICO,Principal Consultant,184877.1072
HYD,Backfill,IT,SAP FICO,Principal Consultant,239010.3144
KOL,Backfill,IT,SAP FICO,Principal Consultant,379850.6574
HYD,Growth,IT,SAP SD,Principal Consultant,490337.1585
HYD,Growth,Hyderabad,SCM,Principal Consultant,1014677.836
HYD,Growth,IT,SCM,Principal Consultant,472548.9809
ITO,Growth,IT,SCM,Principal Consultant,1201738.74
ITO,Growth,IT,Teradata DBA,Principal Consultant,1026807.893
NCR,Growth,ITES,Contract Management,Process Developer,296212.9504
NCR,Growth,Supply Chain,Contract Management,Process Developer,343254.7255
NCR,Growth,BPO,E Sourcing,Process Developer,46159.12901
NCR,Growth,BPO,FGEN,Process Developer,417587.6374
BLR,Growth,BPO,GA,Process developer,142505.4427
BLR,Growth,BPO,GA,Process Developer,162991.0355
BPM,Growth,BPO,GA,Process Developer,157000.4142
BPM,Growth,BPO,General Accounting - L&R,Process Developer,247642.8487
NCR,Growth,BPO,P2P BUYER ,Process Developer,83302.03686
NCR,Growth,Manufacturing,P2P BUYER ,Process Developer,288505.6358
NCR,Growth,mANUFACTURING,Procurement,Process Developer,146533.2153
BLR,Growth,BPO,Reconciliation Management,Process Developer,20984.30477
BLR,Growth,Finance,Reconciliation Management,Process developer,250176.1559
BLR,Growth,Finance,Reconciliation Management,Process developer,494416.1376
BLR,Growth,Service,Reconciliation Management,Process developer,100346.0956
NCR,Growth,BPO,Spend Analytics,Process Developer,262751.2838
NCR,Growth,BPO/ITES,Tactical Buyer,Process Developer,31668.63683
BLR,Growth,Insurance,Variable Product (L&R),Process Developer,275625.3906
HYD,Backfill,IT,Project Manager with SAP Fico,Project Manager,1373204.653
BPM,Growth,BFSI,CAG Compliance,Senior Consultant,272025.7477
BPM,Growth,Big 4,ORM,Senior Consultant,34160.86133
BPM,Growth,ITES/BPO,Risk Management,Senior Consultant,87844.26956
NCR,Growth,Finance,Actuarial ,Senior Manager,98839.29644
KOL,Growth,BPO,AP,Senior Manager,1227903.322
KOL,Backfill,BPO,AP,Senior Manager,754897.9919
HYD,Backfill,BPO,AP,Senior Manager,974770.5014
HYD,Growth,BPO,AP,Senior Manager,1043984.662
BPM,Backfill,BPO,AP,Senior Manager,443504.4885
BPM,Backfill,ITES,AP,Senior Manager,946356.5587
NCR,Backfill,BPO,AR,Senior Manager,337893.5314
NCR,Growth,BPO,BD F&A,Senior Manager,870770.152
NCR,Backfill,ITES,Bidding - ITO,Senior Manager,1092894.66
NCR,Growth,BPO,Black Belt,Senior Manager,545389.3485
BPM,Growth,BPO,Black Belt,Senior Manager,117807.1114
NCR,Growth,BPO,Business Continuity Planning,Senior Manager,1644807.339
NCR,Growth,BPO,C&R/FR,Senior Manager,33166.77455
NCR,Growth,IT,Coe IT Mgr,Senior Manager,75870.37544
NCR,Growth,IT,CoE It Role,Senior Manager,828045.3305
NCR,Growth,IT,CoE It Role,Senior Manager,406217.5913
NCR,Growth,Finance,Commercial Proposal,Senior Manager,11955.40182
HYD,Growth,IT,Data Network,Senior Manager,1650593.987
BPM,Backfill,ITES,F&A Bidding,Senior Manager,425154.7073
ITO,Backfill,IT,Force.com Developer,Senior Manager,1299102.593
BPM,Growth,BPO,FP&A,Senior Manager,1189761.681
NCR,Growth,Finance,FP&A,Senior Manager,977286.6208
NCR,Backfill,Finance,FP&A,Senior Manager,651978.4813
HYD,Backfill,IT,FP&A,Senior Manager,934441.5543
NCR,Backfill,KPO,FP&A,Senior Manager,1651966.171
NCR,Backfill,Telecom,FP&A,Senior Manager,814637.0284
KOL,Backfill,BPO,GL,Senior Manager,582614.6379
KOL,Backfill,BPO,GL,Senior Manager,729202.9071
SDS,Growth,-BFS (Banking & Financial Services),Hiring,Senior Manager,576683.7839
JPR,Backfill,BPO,HR/Hiring/Support,Senior Manager,621749.1707
BPM,Growth,BPO,HR/Hiring/Support,Senior Manager,1282188.969
BPM,Growth,Consulting,HR/Hiring/Support,Senior Manager,135535.224
KOL,Growth,BPO,HRO,Senior Manager,1271023.19
ITO,Growth,IT,Implementation PM,Senior Manager,649529.9067
ITO,Growth,IT,Info Security,Senior Manager,548839.4635
HYD,Growth,IT,Information Security,Senior Manager,746048.5487
NCR,Growth,BPO,Intercompany,Senior Manager,1064472.388
SDS,Backfill,-BFS (Banking & Financial Services),Investment Research,Senior Manager,131370.0669
NCR,Backfill,ITES,Legal/Compliance,Senior Manager,134676.2775
BPM,Backfill,Manufacturing,Logistics,Senior Manager,80185.1378
SDS,Backfill,Genpact-ITES/ BPO/ KPO,Market Research,Senior Manager,995223.923
NCR,Backfill,Oil & Gas,MDM and EPT,Senior Manager,1625425.406
NCR,Growth,IT,Network Operations,Senior Manager,193992.1581
NCR,Backfill,Real Estate,O2C/ Real Estate Accounting,Senior Manager,488144.6623
NCR,Growth,BPO,Operations,Senior Manager,478756.8699
JPR,Growth,Self Employed,Operations,Senior Manager,131400.8329
NCR,Growth,IT,Oracle Apps Proj Mgr,Senior Manager,715267.8584
BLR,Growth,ITES,Order Management,Senior Manager,1639296.353
NCR,Growth,BPO,ORM,Senior Manager,1750614.887
KOL,Backfill,BPO,OTC,Senior Manager,32012.90968
BPM,Backfill,BPO,P2P,Senior Manager,901158.5126
BPM,Backfill,BPO,P2P (Transformation),Senior Manager,836787.0026
NCR,Growth,BPO,P2P BUYER ,Senior Manager,901866.1761
HYD,Growth,P2P,P2P BUYER ,Senior Manager,824983.9037
KOL,Growth,P2P,P2P BUYER ,Senior Manager,443795.2551
BPM,Growth,KPO,P2P Transformation,Senior Manager,577692.5055
BLR,Growth,BPO,PC FP&A,Senior Manager,1708615.872
BLR,Growth,BPO,PC FP&A,Senior Manager,797981.2819
ITO,Backfill,IT,"PMP, Proj Mgt",Senior Manager,1076578.086
NCR,Backfill,ITES,Pricing,Senior Manager,739234.5478
NCR,Growth,BPO,Product Marketing,Senior Manager,1153962.634
NCR,Backfill,IT,Progm Mgt,Senior Manager,123678.2485
NCR,Growth,IT,Project Management,Senior Manager,157062.7119
NCR,Growth,BPO,Project Management F&A,Senior Manager,767375.3659
HYD,Backfill,BPO/ITES,Quality,Senior Manager,739094.0146
NCR,Growth,BPO/ITES,Quality,Senior Manager,1226931.104
HYD,Growth,IT,Quality ITL,Senior Manager,115510.511
NCR,Backfill,Big 4,R2R,Senior Manager,367914.7505
NCR,Growth,BPO,R2R,Senior Manager,1250037.701
NCR,Backfill,BPO,R2R,Senior Manager,602423.8105
NCR,Growth,BPO,R2R,Senior Manager,785014.3054
KOL,Growth,Finance,R2R,Senior Manager,61796.19108
NCR,Growth,Finance,R2R,Senior Manager,649650.0682
HYD,Growth,Finance,R2R,Senior Manager,233729.6216
NCR,Growth,Capital Market,Reengineering,Senior Manager,575824.2832
NCR,Growth,ITES,Reengineering,Senior Manager,1134678.36
BLR,Growth,Sourcing,Reengineering,Senior Manager,1884927.202
JPR,Growth,Finance,Regulatory Reporting,Senior Manager,755594.3532
HYD,Growth,SCM,SCM,Senior Manager,567756.5113
BPM,Backfill,BPO,Solutioning,Senior Manager,611332.4957
NCR,Growth,BPO,Strategic Sourcing,Senior Manager,572234.7641
NCR,Growth,BPO,Taxation,Senior Manager,491789.1539
BPM,Growth,BPO,Taxation,Senior Manager,1254406.833
NCR,Backfill,IT,Testing,Senior Manager,1017268.742
BPM,Growth,Finance,US GAAP,Senior Manager,52450.81375
NCR,Growth,BPO,US GAAP & STAT Reporting,Senior Manager,186785.3766
NCR,Growth,BPO,US GAAP & STAT Reporting,Senior Manager,942037.9999
BLR,Growth,BPO,US GAAP & STAT Reporting,Senior Manager,1251291.237
HYD,Growth,Bangalore,CPG Domain Expert,Senior Principal Consultant,1093586.883
HYD,Growth,IT,Financials,Senior Principal Consultant,719980.9075
